Series Name,Series Code,Country Name,Country Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Afghanistan,AFG,5,5.45,5.9,7,8.26,11,13.5,16.8,17.6,17,16.5,17.2,17.7,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Albania,ALB,47,49.4,51.8,54.3,56.9,59.6,62.4,65.4,68.6,72.2,79.3,82.6,83.1,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Algeria,DZA,14.9,18.2,22.5,29.5,38.2,42.9,47.7,49,55.8,63.5,72.2,74.8,76.9,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Andorra,AND,81,82.7,84.4,86.1,87.9,89.7,91.6,..,90.7,93.2,93.9,94.5,95.4,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Angola,AGO,4.7,7.7,13,21.4,22,23.2,26,29,32.1,36.6,39.4,42.1,44.8,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Antigua and Barbuda,ATG,52,58,63.4,67.8,70,71,72,73,74,75,76.1,77.2,77.6,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Argentina,ARG,51,55.8,59.9,64.7,68,71,74.3,77.7,79.9,85.5,87.2,88.4,89.2,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Armenia,ARM,32,37.5,41.9,54.6,59.1,64.3,64.7,68.2,66.5,76.5,78.6,77,80,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Aruba,ABW,69,74,78.9,83.8,88.7,93.5,97.2,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Australia,AUS,79.5,79,83.5,84,84.6,86.5,86.5,90,93.6,94.7,97,97,97.1,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Austria,AUT,78.7,80,80.6,81,83.9,84.3,87.9,87.5,87.8,87.5,92.5,93.6,95.3,94.9
Individuals using the Internet (% of population),IT.NET.USER.ZS,Azerbaijan,AZE,50,54.2,73,75,77,78.2,79,79.8,81.1,84.6,86,88,89,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Bahamas, The",BHS,65,71.7,72,76.9,78,80,80.6,83,90.7,92.4,94.3,94.7,94.8,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bahrain,BHR,77,88,90,90.5,93.5,98,95.9,98.6,99.7,99.7,100,100,100,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bangladesh,BGD,4.5,5,6.63,11.9,12.9,18.1,21.5,25.6,30.4,36.1,38.9,41.6,44.5,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Barbados,BRB,66.5,71.2,71.8,71.9,72,72.2,72.3,72.4,74.2,76,77.9,79.4,80,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belarus,BLR,39.6,46.9,54.2,59,62.2,71.1,74.4,79.1,82.8,85.1,86.9,89.5,91.5,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belgium,BEL,81.6,80.7,82.2,85,85.1,86.5,87.7,88.6,90.3,91.5,92.8,94,94.6,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belize,BLZ,30.7,31,33.6,38.7,41.6,44.6,48.9,53.6,58.8,64.4,70.7,71.8,72.4,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Benin,BEN,4.15,4.5,4.9,6,11.3,14.5,18.7,19,20.5,22.1,28.2,30,32.2,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bermuda,BMU,88.3,91.3,95.3,96.8,98.3,98,98.4,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bhutan,BTN,14.4,15.6,22.4,30.3,39.8,46.5,54.3,63.5,74.2,76.9,85.6,86.3,88.4,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bolivia,BOL,30,35.3,37,34.6,37.5,39.7,43.8,44.3,47.5,59.9,66,67.4,70.2,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bosnia and Herzegovina,BIH,43.9,45.1,48.5,49.9,52.6,60.3,64.9,70.1,69.9,73.2,75.7,78.8,83.4,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Botswana,BWA,9,16,30,36.7,37.3,42.3,47.9,54.2,61.4,69.5,78.7,80.4,81.4,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brazil,BRA,45.7,48.6,51,54.6,58.3,60.9,67.5,70.4,73.9,81.3,80.7,80.5,84.2,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,British Virgin Islands,VGB,37.4,37.6,..,..,..,77.7,77.7,..,..,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Brunei Darussalam,BRN,56,60.3,64.5,68.8,71.2,90,94.9,95,95,96.3,97.6,99,99,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bulgaria,BGR,48,51.9,53.1,55.5,56.7,59.8,63.4,64.8,67.9,70.2,75.3,79.1,80.4,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Burkina Faso,BFA,3,3.73,5,6,6.55,7.14,7.79,8.5,9.27,10.8,12.6,14.6,17,..
